danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,user
0.614,0.686,9,-6.483,0,0.21,0.0105,1.36e-6,0.184,0.645,136.537,audio_features,78eouBKVRyhbSzJwChr6QM,spotify:track:78eouBKVRyhbSzJwChr6QM,https://api.spotify.com/v1/tracks/78eouBKVRyhbSzJwChr6QM,https://api.spotify.com/v1/audio-analysis/78eouBKVRyhbSzJwChr6QM,233667,4,Don't Hurt Yourself (feat. Jack White),78eouBKVRyhbSzJwChr6QM,Jillian
0.775,0.598,2,-7.274,1,0.0535,0.00175,4.44e-6,0.253,0.356,129.988,audio_features,0lnIJmgcUpEpe4AZACjayW,spotify:track:0lnIJmgcUpEpe4AZACjayW,https://api.spotify.com/v1/tracks/0lnIJmgcUpEpe4AZACjayW,https://api.spotify.com/v1/audio-analysis/0lnIJmgcUpEpe4AZACjayW,232560,4,Sorry,0lnIJmgcUpEpe4AZACjayW,Jillian
0.516,0.637,6,-8.832,1,0.0632,0.0433,3.89e-6,0.11,0.324,138.011,audio_features,0pxNyJJiL2zZZ5GgJ4JhsQ,spotify:track:0pxNyJJiL2zZZ5GgJ4JhsQ,https://api.spotify.com/v1/tracks/0pxNyJJiL2zZZ5GgJ4JhsQ,https://api.spotify.com/v1/audio-analysis/0pxNyJJiL2zZZ5GgJ4JhsQ,260440,4,6 Inch (feat. The Weeknd),0pxNyJJiL2zZZ5GgJ4JhsQ,Jillian
0.643,0.503,7,-8.37,1,0.216,0.273,0,0.349,0.598,90.886,audio_features,71OvX5NNLrmz7rpq1ANTQn,spotify:track:71OvX5NNLrmz7rpq1ANTQn,https://api.spotify.com/v1/tracks/71OvX5NNLrmz7rpq1ANTQn,https://api.spotify.com/v1/audio-analysis/71OvX5NNLrmz7rpq1ANTQn,287987,4,Daddy Lessons,71OvX5NNLrmz7rpq1ANTQn,Jillian
0.455,0.535,9,-10.602,0,0.0426,0.0209,0.64,0.126,0.216,157.01,audio_features,2RQAG0wQt35UzAPEyVJFWN,spotify:track:2RQAG0wQt35UzAPEyVJFWN,https://api.spotify.com/v1/tracks/2RQAG0wQt35UzAPEyVJFWN,https://api.spotify.com/v1/audio-analysis/2RQAG0wQt35UzAPEyVJFWN,237440,4,Love Drought,2RQAG0wQt35UzAPEyVJFWN,Jillian
0.33,0.357,10,-10.171,1,0.0348,0.866,1.76e-5,0.19,0.101,84.119,audio_features,2FNPJWVdGxYhWaotd6rULS,spotify:track:2FNPJWVdGxYhWaotd6rULS,https://api.spotify.com/v1/tracks/2FNPJWVdGxYhWaotd6rULS,https://api.spotify.com/v1/audio-analysis/2FNPJWVdGxYhWaotd6rULS,182720,3,Sandcastles,2FNPJWVdGxYhWaotd6rULS,Jillian
0.387,0.133,7,-15.633,0,0.0474,0.947,0.0591,0.107,0.0498,124.397,audio_features,2bOWJIYSbhwg2NMQq1QMYH,spotify:track:2bOWJIYSbhwg2NMQq1QMYH,https://api.spotify.com/v1/tracks/2bOWJIYSbhwg2NMQq1QMYH,https://api.spotify.com/v1/audio-analysis/2bOWJIYSbhwg2NMQq1QMYH,79200,4,Forward (feat. James Blake),2bOWJIYSbhwg2NMQq1QMYH,Jillian
0.437,0.803,2,-6.412,1,0.305,0.0376,0,0.683,0.406,84.378,audio_features,7aBxcRw77817BrkdPChAGY,spotify:track:7aBxcRw77817BrkdPChAGY,https://api.spotify.com/v1/tracks/7aBxcRw77817BrkdPChAGY,https://api.spotify.com/v1/audio-analysis/7aBxcRw77817BrkdPChAGY,289760,4,Freedom (feat. Kendrick Lamar),7aBxcRw77817BrkdPChAGY,Jillian
0.574,0.573,11,-7.079,1,0.085,0.392,2.16e-5,0.0933,0.626,136.304,audio_features,7oAuqs6akGnPU3Tb00ZmyM,spotify:track:7oAuqs6akGnPU3Tb00ZmyM,https://api.spotify.com/v1/tracks/7oAuqs6akGnPU3Tb00ZmyM,https://api.spotify.com/v1/audio-analysis/7oAuqs6akGnPU3Tb00ZmyM,322000,4,All Night,7oAuqs6akGnPU3Tb00ZmyM,Jillian
0.896,0.621,5,-6.857,0,0.237,0.00532,0,0.196,0.818,121.966,audio_features,6g0Orsxv6glTJCt4cHsRsQ,spotify:track:6g0Orsxv6glTJCt4cHsRsQ,https://api.spotify.com/v1/tracks/6g0Orsxv6glTJCt4cHsRsQ,https://api.spotify.com/v1/audio-analysis/6g0Orsxv6glTJCt4cHsRsQ,206080,4,Formation,6g0Orsxv6glTJCt4cHsRsQ,Jillian
0.546,0.26,1,-12.573,1,0.125,0.942,5.09e-6,0.128,0.421,155.033,audio_features,6eR1N0EBHiDkGDzegX99d3,spotify:track:6eR1N0EBHiDkGDzegX99d3,https://api.spotify.com/v1/tracks/6eR1N0EBHiDkGDzegX99d3,https://api.spotify.com/v1/audio-analysis/6eR1N0EBHiDkGDzegX99d3,204400,4,Sorry - Original Demo,6eR1N0EBHiDkGDzegX99d3,Jillian
0.697,0.552,1,-10.271,0,0.196,0.479,0.127,0.147,0.278,75.235,audio_features,6vsV4D8BM6PioRr1UOx0n2,spotify:track:6vsV4D8BM6PioRr1UOx0n2,https://api.spotify.com/v1/tracks/6vsV4D8BM6PioRr1UOx0n2,https://api.spotify.com/v1/audio-analysis/6vsV4D8BM6PioRr1UOx0n2,180567,4,you should see me in a crown,6vsV4D8BM6PioRr1UOx0n2,Jillian
0.681,0.495,7,-8.06,1,0.0657,0.19,0.0188,0.102,0.263,76.009,audio_features,5deVg0xkVdJQZ8at6uuNwB,spotify:track:5deVg0xkVdJQZ8at6uuNwB,https://api.spotify.com/v1/tracks/5deVg0xkVdJQZ8at6uuNwB,https://api.spotify.com/v1/audio-analysis/5deVg0xkVdJQZ8at6uuNwB,219340,4,Surprise Me,5deVg0xkVdJQZ8at6uuNwB,Jillian
0.658,0.729,7,-6.561,1,0.0378,0.00215,0.0013,0.0752,0.668,104.007,audio_features,3bIxTsfeNMO7Nt2J3EUKrA,spotify:track:3bIxTsfeNMO7Nt2J3EUKrA,https://api.spotify.com/v1/tracks/3bIxTsfeNMO7Nt2J3EUKrA,https://api.spotify.com/v1/audio-analysis/3bIxTsfeNMO7Nt2J3EUKrA,230133,4,22,3bIxTsfeNMO7Nt2J3EUKrA,Jillian
0.931,0.306,8,-9.979,0,0.453,0.0128,8.59e-6,0.0708,0.457,140.039,audio_features,57zEbGuOa9Skogmm0WdOzM,spotify:track:57zEbGuOa9Skogmm0WdOzM,https://api.spotify.com/v1/tracks/57zEbGuOa9Skogmm0WdOzM,https://api.spotify.com/v1/audio-analysis/57zEbGuOa9Skogmm0WdOzM,207801,4,Love N Hennessy,57zEbGuOa9Skogmm0WdOzM,Jillian
0.76,0.579,0,-7.374,1,0.0567,0.0127,0.00344,0.106,0.129,100.011,audio_features,4j3GWI86JvSaF0BLdmgcfF,spotify:track:4j3GWI86JvSaF0BLdmgcfF,https://api.spotify.com/v1/tracks/4j3GWI86JvSaF0BLdmgcfF,https://api.spotify.com/v1/audio-analysis/4j3GWI86JvSaF0BLdmgcfF,213600,4,Summertime Magic,4j3GWI86JvSaF0BLdmgcfF,Jillian
0.55,0.596,7,-8.214,1,0.134,0.162,0.00481,0.0805,0.253,165.736,audio_features,7p4vHnYXkxlzvfePJVpcTr,spotify:track:7p4vHnYXkxlzvfePJVpcTr,https://api.spotify.com/v1/tracks/7p4vHnYXkxlzvfePJVpcTr,https://api.spotify.com/v1/audio-analysis/7p4vHnYXkxlzvfePJVpcTr,297404,4,Feels Like Summer,7p4vHnYXkxlzvfePJVpcTr,Jillian
0.387,0.706,9,-8.74,1,0.128,0.639,0.00404,0.285,0.588,115.956,audio_features,2Tl0t18jgqJo0S7Fs2iy50,spotify:track:2Tl0t18jgqJo0S7Fs2iy50,https://api.spotify.com/v1/tracks/2Tl0t18jgqJo0S7Fs2iy50,https://api.spotify.com/v1/audio-analysis/2Tl0t18jgqJo0S7Fs2iy50,136343,4,Body Language - Intro,2Tl0t18jgqJo0S7Fs2iy50,Jillian
0.624,0.785,11,-5.634,0,0.034,0.00382,0,0.0883,0.656,95.933,audio_features,5oJAaPRS2EzNIc8EWIbucE,spotify:track:5oJAaPRS2EzNIc8EWIbucE,https://api.spotify.com/v1/tracks/5oJAaPRS2EzNIc8EWIbucE,https://api.spotify.com/v1/audio-analysis/5oJAaPRS2EzNIc8EWIbucE,243865,4,Miami (feat. BIA),5oJAaPRS2EzNIc8EWIbucE,Jillian
